start	end	text
0	4640	One idea they're going to be debating here in the European Parliament next month is this.
4640	9040	If job-destroying robots are replacing tax-paying humans,
9040	11760	well, perhaps we need to tax the robots.
12880	17840	My proposal is that we monitor exactly what is happening on the job market,
17840	20000	on the employment sector.
20000	24480	And if robots are taking over more jobs than new jobs are created,
24480	27840	we will be, or most of member states and of the governance,
27840	31520	we'll be in a difficult position to collect enough money
31520	35360	to finance all the services that we need.
35360	39760	So if this is the case, I think we should think on taxing robots
40640	45600	because someone has to pay for our normal life,
45600	50080	for the infrastructures, for the services that the government should provide to the people.
52480	53920	But how simple would this be?
54800	57120	Some robots are easy to identify.
57120	60720	The company replacing workers with a robot like Baxter here
60720	63360	would be relatively straightforward to tax.
63360	67280	But this wave of innovation is not all about the physical world.
75520	79200	Much of this revolution, though, is taking place out of sight,
79200	84640	inside reassuringly familiar-looking computer cases and server racks.
84640	88400	But these new machines are learning and thinking.
88400	92880	And learning and thinking is currently how much of humanity earns its living.
96480	97760	Welcome to SMAC.
98800	100800	It stands for smart accountancy.
101360	105440	This Berlin-based start-up has harnessed artificial intelligence
105440	109280	in an attempt to revolutionise the boring old accountancy profession.
111280	113120	The process looks familiar enough,
113120	117360	clients of the service will scan their invoices and receipts into a computer.
117360	121200	But inside, the software is doing something extraordinary.
121920	124800	Instead of human accountants looking at the documents,
124800	129440	the computer is figuring out the figures, adding them to the correct accounts.
130160	132960	Text on paper is pretty easy,
132960	135440	but then you have to interpret the text,
135440	141920	and the system has to know what is that number here and what is that number here,
141920	145360	and where is the text information on the receipt.
145360	148320	And that's interpreting the information,
148320	153680	and that's really, in many, many areas, a revolution that we are seeing.
153680	156160	For example, self-driving cars.
156720	160080	Is that a person crossing the street,
160080	163760	or is it just water on the street mirroring something?
163760	165920	Can I go on driving, or do I have to stop?
165920	168800	That's understanding, interpretation work.
168800	173040	And that's also the work that has to be done here for the accounting purposes.
173040	175360	The system really needs to do the interpretation.
176800	179360	At SMAC, they say this will lead to less mundane,
179360	182000	more interesting work for human accountants.
182000	185680	But again, the question is, how many of these human jobs will survive?
186560	190240	We are progressing very, very quickly in terms of innovation,
190240	194640	but we have no idea where we are heading and where we want to reach.
195200	200240	And I feel that at present, both governments and the private sector
200240	204880	are quite happy to rely on neoliberalism and market forces
204880	208560	and allow them to decide the direction of innovation.
208560	210320	And this is extremely dangerous.
211280	213680	How dangerous? Well, don't take it from me.
214640	217520	Want to know where we could be heading as a species?
217520	219600	Have a look at our friend Oliver here.
219600	223440	Just a century ago, millions of horses in the UK could earn their keep
223440	227360	in agriculture, in the mines, in industry, in transport.
228400	232560	The fact is that for almost every job that horses once monopolised,
232560	235360	today they're not worth their feed and stapling.
236000	238720	They couldn't give their labour away at any price.
239600	243600	We can only hope that the robots are a little more sympathetic to us
243600	245200	than we were to the horses.
