start	end	text
0	4440	So how can you avoid looking like a complete idiot in an argument?
4880	10040	Well, you need to learn how to build an informed argument. And the first step to that is
11680	16600	understanding the question and the context to the question. So if we look back to the mountain example, if
17280	23560	we had posed the question, what is the tallest mountain including below and above sea level heights,
23560	27120	I would have had the chance to think, to examine my position.
27880	35600	Because I would have thought that, does my statistic apply to above or just below sea level?
35600	41360	And I could have understood that in the context, my statistic was irrelevant. And there were other
41760	48800	possibilities to what the answer of the question could have been. And this doesn't just apply to mountains, because
49120	55360	when you are building a point in a discussion, you need to know what you're saying.
55520	62880	You need to understand what the question being asked is. For this question, I was let, I didn't understand
62880	67200	if we were including below and above sea level, so I wasn't able to build an informed argument.
67200	74000	And as we come to topics that people are more passionate about, people more often forget to look at the reasoning
74000	79680	and the context behind the argument, which is very important to formulating and defending an opinion.
80640	86560	Secondly, you need to understand the argument from multiple and all relevant perspectives.
86560	93760	So, if we go back to the Mauna Kea example again, I, Mount Everest was the only mountain that I knew the height of.
93760	98240	Not the height, but I knew that it was the tallest. So it was the only mountain that I had heard of.
98240	105200	But, if I had examined other mountains, I probably would have come across mountains that heights was included below and above sea level.
105200	110720	And in that case, I would have been able to reevaluate my argument in the context of the question
110720	115040	and understand why my sister thought that I was wrong.
115040	122240	Furthermore, this applies to lots of arguments. Often people come across as ignorant or in a discussion
122240	127280	because they have not considered all the people who are involved in the argument.
127280	133600	Everyone, there are lots of different opinions than yours, and even an argument that can seem black and white in your opinion
133600	138160	can be seen as very colorful and someone else's.
138160	144320	So, in order to form an argument, you need to look at all the responsive perspectives.
144320	153280	And lastly, and most importantly, in order to form an argument, you need to look at the side that's opposing yours.
153280	160800	This is extremely important. In debate, we call this the con to your pro or the affirmation to your negation.
160800	169120	This person inherently thinks you're wrong. The fact that there is a debate means that there's a person who thinks that you're wrong.
169120	174160	And this is very important because this person has a reason why they think they're right.
174160	177600	They think this reason is very right and they are going to defend it.
177600	184320	Yet, if you look at the reason why you're right and discover why they are wrong, you will be able to prove your point in an argument.
184320	190000	So, if we go back to the mountain example again, we can see that my sister thought she was right
190000	193840	because she was looking at the statistic from below and above sea level.
193840	203360	Yet, if I rephrased my argument to be that Mount Everest is the tallest mountain in the world above sea level, I would win that argument every time.
203360	211920	In the status quo, when we debate, we use quick judgments and we make and we avidly defend those,
211920	217440	even though we later often come to find that we were misinformed and answered it wrongly.
217440	225280	Real debate requires you to slow down and become a better consumer of information in order to prove a point in an argument.
225280	232080	In order to do this, you need to look at all perspectives and contexts in order to answer the question.
232080	240160	And you need to look at the question in a context additionally to looking at the opposing side of the argument.
240160	250320	If you do all these, you will learn to debate what's in your heart with your mind instead of letting your heart dictate how your mind perceives information.
250320	260480	So, the next time you're in an argument or a discussion and you're getting frazzled, I implore you, don't raise your voice but improve your argument.
260480	262960	Thank you so much. Join the debate team.
