start	end	text
0	2000	Delivering the future.
3440	9720	Little robots taking parcels and groceries to the front door due to starting Greenwich, London next year.
13160	17340	Up until now, the unpredictable complexity of the real world,
18200	23640	infinite variety of hazards and obstacles meant the last mile of delivery needed a human.
23640	31440	Not, it seems, any more. Thanks very much.
35360	40480	It's us waiting around at home in a five-hour delivery window. We have to take a day off work.
40600	43520	It's so time-consuming and such a waste.
44480	50000	Robotics and technology in the current day right now can solve those problems. So that's what we're doing.
50000	59000	There's no doubt that this coming wave of automation, of artificial intelligence and robots like this one,
59120	65320	is going to deliver huge advantages to society. It's going to transform our lives, make them more convenient.
65440	71800	The question is, is it also going to bring us some problems that society is going to struggle to cope with,
71920	74400	not least, more inequality?
75360	81960	This is what could happen. With delivery bots, driverless vans, warehouse robots and online retailing,
81960	89360	it's possible for a tiny number of people to sew up an entire market that once employed hundreds of thousands or even millions.
89640	94360	The few can get fabulously rich. As for the rest,
95520	100720	in previous eras of job destruction, when mechanization chased farm workers off the land,
101040	105560	it also created new and better-paid jobs in the towns and cities.
105680	109720	And when muscle work disappeared, we moved into brain work.
109840	114600	But soon, the machines will not only be stronger than us, but smarter too.
116040	124040	Some new jobs will be created. These are robot handlers ready to take control if one of the delivery robots gets into trouble.
124480	128880	The real worry is about how many of these new jobs there are going to be.
130720	137520	One study estimates that 35% of UK jobs will be automated away in 10 to 20 years' time,
137840	145840	and that jobs that pay under £30,000 a year are five times more at risk from automation than jobs that pay above £100,000.
146560	155920	Research by McKinsey's has warned that this transformation is happening 10 times faster and at 300 times the scale of the Industrial Revolution.
155920	162800	Or, in other words, with 3,000 times the impact of the changes that transform the Victorian world.
166480	172480	These sculptures are perhaps a good metaphor for how most politicians have reacted to the challenge until now.
