start	end	text
0	9240	Do you use any navigation application to go through traffic jams?
9240	14060	What happens when you scroll down through your social media feed?
14060	20080	Do you follow any recommendation that any streaming service might give you?
20080	25700	So by the end of the day, we know that AI is there, but do we actually understand what
25700	37300	is going on, and can we trust the output of those applications?
37300	43300	To date, the approach that we've taken to these kinds of technologies is to say, well,
43300	45520	consumers can figure this out on their own.
45520	48300	They can read the terms and conditions on websites.
48300	54100	They can choose not to participate in certain digital environments, but increasingly, these
54100	57620	products and platforms are part of our lives.
57620	60380	They are part of the way that we provide education.
60380	63380	They are part of the way that we look for jobs.
63380	71340	And that power imbalance cannot be addressed by simply giving consumers more information
71340	74900	or giving them individual rights of complaint.
74900	80580	What we're ultimately going to have to do if we're going to change the kind of structural
80580	87780	ways in which these technologies are designed is to push the responsibilities back on our
87780	95980	designers, back on the organizations who are relying on technologies to change their practices.
95980	100900	Technologies like artificial intelligence have the potential to empower people and to
100900	109000	broaden their perspectives, or they can widen inequalities and really don't contribute to
109000	111160	address our societal challenges.
111160	113680	But we cannot blame the technologies.
113680	115720	It's not about the technologies.
115720	121140	It's about us developing the framework, shaping the rules that will allow these technologies
121140	125320	to deliver to what we want them to achieve.
125320	131880	And we need to make sure that we embed those very important ethical principles, the protection
131880	141880	and promotion of human rights and human dignity that will at the end determine the outcomes.
141880	148840	Responsible governance of AI technologies without the buy-in of Big Tech and other companies
148840	150720	is impossible.
150720	159600	It is necessary for us to find ways in which to explain to them that ethics is not about
159600	162320	abstract principles.
162320	163840	Ethics should be bottom up.
163840	165960	It is a dynamic system.
165960	171720	It should enable innovation and in the end lead to trust in products of these companies
171720	178560	which would lead to success in terms of whatever their business aims are.
178560	185320	We see how ethical debates end up playing an important role in shaping the conversation
185320	189680	of AI regulation over the last five years.
189680	202040	We saw a plethora of charters, declarations of AI ethical principles.
202040	210720	We are seeing right now that those principles are being applied on a very practical basis.
211520	219520	A lot of countries in Latin America have already come up with their national strategies on artificial intelligence.
219520	223000	But some countries in the region are going a step further.
223000	231360	They are actually regulating through hard law some of the principles of artificial intelligence.
231360	235440	In the European Union, we're looking at draft AI acts.
235440	242840	In the US, Congress is starting to talk in great detail about monopoly power of technology companies.
242840	253920	And you can see the wheels turning across the world as countries move from awareness-raising
253920	258640	to strategy, to attempts at implementation, attempts at regulation.
