start	end	text
0	6000	When I tell people that I'm on the debate team, I generally get one of two responses.
6000	10000	The first being, I could never do that.
10000	18000	The second, wow, people have always told me I would be great at debate. I love to argue.
18000	24000	Well, both of these responses illustrate a real problem with how we view debate today.
24000	26000	Debate is seen as a fight.
26000	33000	If an argument is seen as a fight, then the winner is the person who can talk the loudest,
33000	37000	who looks the prettiest on stage, or who can garner the most support.
37000	39000	Yeah, debate is so much more than that.
39000	44000	It's about who is the best speaker and who can illustrate their points the strongest.
44000	50000	Now, this isn't all just a shameless plug to try and get you to join the debate team.
50000	52000	But you should join.
53000	59000	This is a shameless plug to get you to reevaluate the way you form an argument and an opinion,
59000	67000	because real debate needs facts, logic, reasoning, and refutation to hold up.
67000	72000	So, I'm going to tell you the story of the first time I remember losing a debate.
72000	78000	So, I was with my mom and my younger sister in the car, or my older sister in the car,
78000	80000	and we were driving home from school.
80000	86000	And I told them what I learned that day, that Mount Everest is the tallest mountain in the whole world.
86000	88000	My sister immediately shot me down.
88000	94000	She said, actually, Mauna Kea in Hawaii is way taller than that.
94000	96000	I started screaming at her.
96000	98000	I said, no, you're wrong.
98000	101000	A little spoiler alert, I was wrong.
102000	109000	So, actually, Mauna Kea is a mountain in Hawaii, but it's like a volcano.
109000	114000	And if you go below sea level, it's about a mile taller than Everest.
114000	115000	I didn't know that at the time.
115000	121000	And I had learned from my teacher that Mount Everest was the tallest, so I believed it.
121000	125000	And I fought to defend that point, just with words.
125000	127000	My sister would win, but in a fight.
127000	133000	But I fought to get that point together, even though I didn't have all the information.
