start	end	text
0	4840	AI is being used to help decide whether or not you get that job interview,
4840	7280	how much you pay for your car insurance,
7280	9160	how good your credit score is,
9160	12520	and even what rating you get in your annual performance review.
13280	17360	But these decisions are all being filtered through its assumptions
17360	22440	about our identity, our race, our gender, our age.
24520	26800	How is that happening?
26880	30360	Now, imagine an AI is helping a hiring manager
30360	33280	find the next tech leader in the company.
33280	36440	So far, the manager has been hiring mostly men,
36440	41840	so the AI learns men are more likely to be programmers than women.
41840	47680	And it's very shortly from there to men make better programmers than women.
47680	51480	We have reinforced our own bias into the AI,
51480	55280	and now it's screening out female candidates.
57280	61520	Hang on, if a human hiring manager did that, we'd be outraged.
61520	62680	We wouldn't allow it.
62680	66160	This kind of gender discrimination is not OK.
66160	70680	And yet, somehow, AI has become above the law
70680	73160	because the machine made the decision.
74160	75720	That's not it.
75720	81240	We are also reinforcing our bias in how we interact with AI.
81240	86760	How often do you use a voice assistant like Siri, Alexa or even Cortana?
87240	89840	They all have two things in common.
89840	93000	One, they can never get my name right.
93000	96800	And second, they are all female.
96800	99600	They're designed to be your obedient servants,
99600	103520	turning your lights on and off, ordering your shopping.
103520	106840	You get male AIs too, but they tend to be more high-powered,
106840	109960	like IBM Watson making business decisions,
109960	114600	Salesforce Science Team or Ross, the robot lawyer.
114600	118480	So, poor robots, even they suffer from sexism in the workplace.
120880	123760	Think about how these two things combine
123760	129120	and affect a kid growing up in today's world around AI.
129120	132040	So, they're doing some research for a school project,
132040	135120	and they Google images of CEO.
135120	138040	The algorithm shows them results of mostly men.
138040	140640	And now, they Google personal assistant.
140640	144040	As you can guess, it shows them mostly females.
144040	147680	And then, they want to put on some music and maybe order some food.
147680	151480	And now, they're barking orders at a female voice,
151480	154120	an obedient female voice assistant.
155920	161200	Some of our brightest minds are creating this technology today,
161200	165400	technology that they could have created in any way they wanted.
165400	171120	And yet, they've chosen to create it in the style of 1950s Mad Men Secretary.
171120	172120	Yay!
173120	174560	But okay, don't worry.
174560	176480	This is not going to end with me telling you
176480	181080	that we're all heading towards sexist racist machines running the world.
181080	187640	The good news about AI is that it is entirely within our control.
187640	192480	We get to teach the right values, the right ethics to AI.
192480	194680	So, there are three things we can do.
194680	198040	One, we can be aware of our own biases
198040	200800	and the bias in machines around us.
200800	205360	Two, we can make sure there are diverse teams building this technology.
205360	211160	And three, we have to give it diverse experiences to learn from.
211160	214520	I can talk about the first two from personal experience.
214520	219400	When you work in technology and you don't look like a Mark Zuckerberg or Elon Musk,
219400	224200	your life is a little bit difficult, your ability gets questioned.
224200	225600	Here's just one example.
225600	229400	Like most developers, I often join online tech forums
229400	232640	and share my knowledge to help others.
232640	237960	And I found when I log on as myself with my own photo, my own name,
237960	242560	I tend to get questions or comments like this.
242560	246760	What makes you think you're qualified to talk about AI?
246760	250320	What makes you think you know about machine learning?
250320	253760	So, as you do, I made a new profile.
253760	255680	And this time, instead of my own picture,
255680	258640	I chose a cat with a jetpack on it.
258640	262280	And I chose a name that did not reveal my gender.
262280	265040	You can probably guess where this is going, right?
265040	271440	So, this time, I didn't get any of those patronizing comments about my ability,
271440	275840	and I was able to actually get some work done.
275840	277720	And it sucks, guys.
277720	280240	I've been building robots since I was 15,
280240	282520	I have a few degrees in computer science,
282520	288240	and yet, I had to hide my gender in order for my work to be taken seriously.
288240	290120	So, what's going on here?
290120	294240	Are men just better at technology than women?
294240	298400	Another study found that when women coders on one platform
298400	300800	hid their gender, like myself,
300800	304880	their code was accepted 4% more than men.
304880	308320	So, this is not about the talent.
308320	311240	This is about an elitism in AI
311240	315000	that says a programmer needs to look like a certain person.
