start	end	text
0	3200	So what's going on? Why isn't my face being detected?
3200	6600	Well, we have to look at how we give machine sight.
6600	12000	Computer vision uses machine learning techniques to do facial recognition.
12000	15800	So how this works is you create a training set with examples of faces.
15800	18600	This is a face, this is a face, this is not a face.
18600	23200	And over time, you can teach a computer how to recognize other faces.
23200	27200	However, if the training sets aren't really that diverse,
27400	32400	any face that deviates too much from the established norm will be harder to detect,
32400	34400	which is what was happening to me.
34400	36800	But don't worry, there's some good news.
36800	39600	Training sets don't just materialize out of nowhere.
39600	41400	We actually can create them.
41400	45700	So there's an opportunity to create full spectrum training sets
45700	49500	that reflect a richer portrait of humanity.
49500	51700	Now, you've seen it in my examples,
51700	58100	how social robots was how I found out about exclusion with algorithmic bias.
58100	62600	But algorithmic bias can also lead to discriminatory practices.
63900	67600	Across the US, police departments are starting to use
67600	71700	facial recognition software in their crime-fighting arsenal.
72100	77600	Georgetown Law published a report showing that one in two adults in the US,
77600	84500	that's 117 million people, have their faces in facial recognition networks.
84500	89100	Police departments can currently look at these networks unregulated
89100	93400	using algorithms that have not been audited for accuracy.
93400	97300	Yet we know facial recognition is not felt proof
97300	101500	and labeling faces consistently remains a challenge.
101500	103100	You might have seen this on Facebook.
103100	106300	My friends and I laugh all the time when we see other people
106300	108800	mislabeled in our photos.
108800	114400	But misidentifying a suspected criminal is no laughing matter,
114400	117300	nor is breaching civil liberties.
117300	120500	Machine learning is being used for facial recognition,
120500	124900	but it's also extending beyond the realm of computer vision.
125800	129800	In her book, Weapons of Math Destruction,
129800	136500	Data Scientist, Kathy O'Neill talks about the rising new WMDs.
136500	140900	Widespread, mysterious and destructive algorithms
140900	143900	that are increasingly being used to make decisions
143900	147100	that impact more aspects of our lives.
147100	148900	So who gets hired or fired?
148900	149800	Do you get that loan?
149800	150800	Do you get insurance?
150800	154600	Are you admitted into the college that you wanted to get into?
154600	158200	Do you and I pay the same price for the same product
158200	160700	purchased on the same platform?
160700	164400	Law enforcement is also starting to use machine learning
164400	166700	for predictive policing.
166700	169700	Some judges use machine-generated risk scores
169700	174700	to determine how long an individual is going to spend in prison.
174700	177200	So we really have to think about these decisions.
177200	178400	Are they fair?
178400	181300	And we've seen that algorithmic bias
181300	184500	doesn't necessarily always lead to fair outcomes.
