start	end	text
0	2520	We're at a tipping point in human history,
2520	5960	a species poised between gaining the stars
5960	8440	and losing the planet we call home.
8440	10080	Even in just the past few years,
10080	13280	we've greatly expanded our knowledge of how Earth fits
13280	15680	within the context of our universe.
15680	18480	NASA's Kepler mission has discovered thousands
18480	21000	of potential planets around other stars,
21000	23280	indicating that Earth is but one of billions
23280	25600	of planets in our galaxy.
25600	28040	Kepler's a space telescope that measures
28040	31440	the subtle dimming of stars as planets pass in front of them,
31440	34720	blocking just a little bit of that light from reaching us.
34720	37320	Kepler's data reveals planets sizes,
37320	40000	as well as their distance from their parent star.
40000	41600	Together, this helps us understand
41600	44080	whether these planets are small and rocky,
44080	46800	like the terrestrial planets in our own solar system,
46800	50080	and also how much light they receive from their parent sun.
50080	53080	In turn, this provides clues as to whether these planets
53080	56680	that we discover might be habitable or not.
56680	59680	Unfortunately, at the same time as we're discovering
59680	62720	this treasure trove of potentially habitable worlds,
62720	66000	our own planet is sagging under the weight of humanity.
66000	70320	2014 was the hottest year on record.
70320	73760	Glaciers and sea ice that have been with us for millennia
73760	77200	are now disappearing in a matter of decades.
77200	79840	These planetary-scale environmental changes
79840	81840	that we have set in motion
81840	86200	are rapidly outpacing our ability to alter their course.
86200	89920	But I'm not a climate scientist. I'm an astronomer.
89920	93440	I study planetary habitability as influenced by stars
93440	95680	with the hopes of finding the places in the universe
95680	98800	where we might discover life beyond our own planet.
98800	102800	You could say that I look for choice-alien real estate.
102800	105000	Now, as somebody who is deeply embedded
105000	107120	in the search for life in the universe,
107120	110720	I can tell you that the more you look for planets like Earth,
110720	114200	the more you appreciate our own planet itself.
114200	116880	Each one of these new worlds invites a comparison
116880	120480	between the newly discovered planet and the planets we know best,
120480	122520	those of our own solar system.
122520	124480	Consider our neighbour, Mars.
124480	128240	Mars is small and rocky, and though it's a bit far from the sun,
128240	130760	it might be considered a potentially habitable world
130760	132880	if found by a mission like Kepler.
132880	136320	Indeed, it's possible that Mars was habitable in the past.
136320	139600	And in part, this is why we study Mars so much.
139600	142920	Our rovers, like Curiosity, crawl across its surface,
142920	146360	scratching for clues as to the origins of life as we know it.
146360	149680	Orbiters like the MAVEN mission sample the Martian atmosphere,
149680	153600	trying to understand how Mars might have lost its past habitability.
153600	156000	Private space flight companies now offer
156000	157960	not just a short trip to near space,
157960	162160	but the tantalizing possibility of living our lives on Mars.
162160	166200	But though these Martian vistas resemble the deserts of our own home world,
166200	168240	places that are tied in our imagination
168240	172040	to ideas about pioneering and frontiers,
172040	176840	compared to Earth, Mars is a pretty terrible place to live.
176840	180040	Consider the extent to which we have not colonized
180040	181920	the deserts of our own planet,
181920	184880	places that are lush by comparison with Mars.
184880	187720	Even in the driest, highest places on Earth,
187720	190120	the air is sweet and thick with oxygen,
190120	194840	exhaled from thousands of miles away by our rainforests.
194840	195840	I worry.
195840	200800	I worry that this excitement about colonizing Mars and other planets
200800	203280	carries with it a long, dark shadow,
203280	205560	the implication and belief by some
205560	208960	that Mars will be there to save us from the self-inflicted destruction
208960	213120	of the only truly habitable planet we know of, the Earth.
213120	215400	As much as I love interplanetary exploration,
215400	217800	I deeply disagree with this idea.
217800	220440	There are many excellent reasons to go to Mars,
220440	224040	but for anyone to tell you that Mars will be there to back up humanity
224040	225680	is like the captain of the Titanic
225680	229000	telling you that the real party is happening later on the lifeboats.
229000	231000	LAUGHTER
231000	235000	APPLAUSE
235000	236000	Thank you.
236000	238000	APPLAUSE
238000	242080	But the goals of interplanetary exploration and planetary preservation
242080	243840	are not opposed to one another.
243840	246640	No, they're in fact two sides of the same goal,
246640	250800	to understand, preserve and improve life into the future.
250800	254880	The extreme environments of our own world are alien vistas.
254880	256840	They're just closer to home.
256840	261240	If we can understand how to create and maintain habitable spaces
261240	264520	out of hostile, inhospitable spaces here on Earth,
264520	267760	perhaps we can meet the needs of both preserving our own environment
267760	270000	and moving beyond it.
270000	274120	I leave you with a final thought experiment, Fermi's Paradox.
274120	278080	Many years ago, the physicist Enrico Fermi asked that,
278080	281760	given the fact that our universe has been around for a very long time
281760	284560	and we expect that there are many planets within it,
284560	287760	we should have found evidence for alien life by now.
287760	289560	So where are they?
289560	293000	Well, one possible solution to Fermi's Paradox
293000	296520	is that as civilizations become technologically advanced enough
296520	298920	to consider living amongst the stars,
298920	301400	they lose sight of how important it is
301400	306160	to safeguard the home worlds that fostered that advancement to begin with.
306160	307840	It is hubris to believe
307840	311960	that interplanetary colonization alone will save us from ourselves,
311960	315560	but planetary preservation and interplanetary exploration
315560	317520	can work together.
317520	319560	If we truly believe in our ability
319560	323160	to bend the hostile environments of Mars for human habitation,
323160	326120	then we should be able to surmount the far easier task
326120	328720	of preserving the habitability of the Earth.
328720	330000	Thank you.
